Journal name,JCR Abbreviation,2023 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,503.1,297,Q1,502.8,104.8,10,65911,ONCOLOGY
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,122.7,114.9,Q1,122.2,14.2,7,48152,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|PHARMACOLOGY & PHARMACY
LANCET,LANCET,98.4,106.9,Q1,97.3,22.8,166,336057,"MEDICINE, GENERAL & INTERNAL"
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,96.2,94.3,Q1,95.6,21.6,257,404835,"MEDICINE, GENERAL & INTERNAL"
BMJ-British Medical Journal,BMJ-BRIT MED J,93.6,69.9,Q1,91.7,19.1,125,163066,"MEDICINE, GENERAL & INTERNAL"
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,81.3,115.5,Q1,81,11.3,1,65632,CELL BIOLOGY
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,81.1,81.5,Q1,80.6,12.6,7,27709,ONCOLOGY
Nature Reviews Materials,NAT REV MATER,79.8,85.7,Q1,79.5,10.2,10,35616,"MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY"
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,76.9,92.6,Q1,76.9,6.4,37,31331,"MEDICINE, GENERAL & INTERNAL"
NATURE REVIEWS CANCER,NAT REV CANCER,72.5,77.2,Q1,72,7.6,3,59496,ONCOLOGY
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,69.2,81.3,Q1,68.8,27.1,0,53193,MICROBIOLOGY
NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,67.7,78.1,Q1,67.2,8.6,7,61956,IMMUNOLOGY
Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,65.3,70.8,Q1,65.3,13.8,6,3740,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,63.1,66.8,Q1,62.2,13.5,181,189853,"MEDICINE, GENERAL & INTERNAL"
World Psychiatry,WORLD PSYCHIATRY,60.5,55.5,Q1,54.9,13.9,13,12036,PSYCHIATRY
NATURE MEDICINE,NAT MED,58.7,59.2,Q1,58.1,9.8,282,129261,"BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY|MEDICINE, RESEARCH & EXPERIMENTAL"
ANNALS OF ONCOLOGY,ANN ONCOL,56.7,38.2,Q1,56.2,11.2,68,64002,ONCOLOGY
CHEMICAL REVIEWS,CHEM REV,51.4,63.5,Q1,50.8,9.6,0,230794,"CHEMISTRY, MULTIDISCIPLINARY"
NATURE,NATURE,50.5,54.4,Q1,49.8,13.2,1129,912552,MULTIDISCIPLINARY SCIENCES
Nature Reviews Methods Primers,NAT REV METHOD PRIME,50.1,50.1,Q1,49.9,5.1,38,4515,MULTIDISCIPLINARY SCIENCES
Nature Reviews Earth & Environment,NAT REV EARTH ENV,49.7,54.5,Q1,49.3,9.2,17,8321,"ENVIRONMENTAL SCIENCES|GEOSCIENCES, MULTIDISCIPLINARY"
Nature Energy,NAT ENERGY,49.7,62.3,Q1,49,12.8,112,46820,"ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY"
CANCER CELL,CANCER CELL,48.8,42.1,Q1,48,8.8,108,52068,CELL BIOLOGY|ONCOLOGY
LANCET NEUROLOGY,LANCET NEUROL,46.5,51.6,Q1,45.7,11,46,47501,CLINICAL NEUROLOGY
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,45.9,65.1,Q1,45.6,6.5,15,26749,GASTROENTEROLOGY & HEPATOLOGY
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,45.9,52.1,Q1,45.8,8.1,0,57818,"PHYSICS, MULTIDISCIPLINARY"
CELL,CELL,45.5,49,Q1,45,10.7,298,305198,BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY
Nature Reviews Physics,NAT REV PHYS,44.8,44.6,Q1,44.5,4.5,0,8134,"PHYSICS, APPLIED|PHYSICS, MULTIDISCIPLINARY"
SCIENCE,SCIENCE,44.7,50.3,Q1,44.3,10.4,665,763009,MULTIDISCIPLINARY SCIENCES
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,44,38.2,Q1,43.3,8.7,42,19590,ENDOCRINOLOGY & METABOLISM
eScience,ESCIENCE,42.9,42.9,Q1,42.1,8.1,42,3827,"ELECTROCHEMISTRY|MATERIALS SCIENCE, MULTIDISCIPLINARY"
Nature Catalysis,NAT CATAL,42.8,47,Q1,42.4,6,103,25392,"CHEMISTRY, PHYSICAL"
JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,42.1,37.4,Q1,41.1,13,464,169257,ONCOLOGY
Nature Reviews Cardiology,NAT REV CARDIOL,41.7,46.5,Q1,41.2,6.3,14,18575,CARDIAC & CARDIOVASCULAR SYSTEMS
LANCET ONCOLOGY,LANCET ONCOL,41.6,42.2,Q1,41.1,8.2,98,72752,ONCOLOGY
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,40.8,40.5,Q1,40.3,6.7,164,29874,BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY
CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,40.4,48.1,Q1,39.9,6.2,0,174686,"CHEMISTRY, MULTIDISCIPLINARY"
NATURE REVIEWS GENETICS,NAT REV GENET,39.1,52.3,Q1,38.6,8.8,0,40757,GENETICS & HEREDITY
Lancet Respiratory Medicine,LANCET RESP MED,38.7,41.3,Q1,38,11.9,59,24191,CRITICAL CARE MEDICINE|RESPIRATORY SYSTEM
Joule,JOULE,38.6,44.8,Q1,38,6.1,136,38070,"CHEMISTRY, PHYSICAL|ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY"
Nature Reviews Chemistry,NAT REV CHEM,38.1,39.6,Q1,38,8.4,0,12247,"CHEMISTRY, MULTIDISCIPLINARY"
Nature Nanotechnology,NAT NANOTECHNOL,38.1,39.6,Q1,37.8,6.5,173,76128,"MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY"
EUROPEAN HEART JOURNAL,EUR HEART J,37.6,32.6,Q1,35.1,7.7,202,84437,CARDIAC & CARDIOVASCULAR SYSTEMS
MMWR Surveillance Summaries,MMWR SURVEILL SUMM,37.3,30.2,Q1,37.3,15.3,7,3442,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
NATURE MATERIALS,NAT MATER,37.2,44,Q1,36.9,6.9,164,108002,"CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED|PHYSICS, CONDENSED MATTER"
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,36.4,32.4,Q1,36,13.8,113,41047,INFECTIOUS DISEASES
NATURE METHODS,NAT METHODS,36.1,45.6,Q1,35.1,4.7,188,112995,BIOCHEMICAL RESEARCH METHODS
CIRCULATION,CIRCULATION,35.5,32.7,Q1,34.8,8.4,239,173789,CARDIAC & CARDIOVASCULAR SYSTEMS|PERIPHERAL VASCULAR DISEASE
ADVANCES IN PHYSICS,ADV PHYS,35,41.3,Q1,35,2,0,5882,"PHYSICS, CONDENSED MATTER"
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,34.4,34,Q1,33.4,8.2,78,27842,"COMPUTER SCIENCE, INFORMATION SYSTEMS|TELECOMMUNICATIONS"
Nature Electronics,NAT ELECTRON,33.7,39.2,Q1,33.1,4.6,84,15284,"ENGINEERING, ELECTRICAL & ELECTRONIC"
PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,33.6,41.2,Q1,33.3,7.8,0,29821,"MATERIALS SCIENCE, MULTIDISCIPLINARY"
Innovation,INNOVATION-AMSTERDAM,33.2,31.8,Q1,32.9,4.6,47,5342,MULTIDISCIPLINARY SCIENCES
NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,33.1,56.9,Q1,32.3,9.8,165,90606,BIOTECHNOLOGY & APPLIED MICROBIOLOGY
Energy & Environmental Science,ENERG ENVIRON SCI,32.4,34.5,Q1,31.3,5.4,411,110768,"CHEMISTRY, MULTIDISCIPLINARY|ENERGY & FUELS|ENGINEERING, CHEMICAL|ENVIRONMENTAL SCIENCES"
Nature Photonics,NAT PHOTONICS,32.3,35.8,Q1,31.7,6,124,54824,"OPTICS|PHYSICS, APPLIED"
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,32,36.8,Q1,31.7,10.7,0,17065,"ENERGY & FUELS|ENGINEERING, CHEMICAL|ENGINEERING, MECHANICAL|THERMODYNAMICS"
NATURE GENETICS,NAT GENET,31.7,36.6,Q1,30.8,4.4,205,104387,GENETICS & HEREDITY
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,31.6,34.3,Q1,31.4,4.2,0,9807,"MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED"
Nano-Micro Letters,NANO-MICRO LETT,31.6,26,Q1,30,10.1,166,24745,"MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY|PHYSICS, APPLIED"
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,31,46.8,Q1,30.6,3.9,14,20965,ENDOCRINOLOGY & METABOLISM
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,30.9,29.6,Q1,30.4,9.6,47,13312,GASTROENTEROLOGY & HEPATOLOGY
Lancet Psychiatry,LANCET PSYCHIAT,30.8,36.8,Q1,30.4,4.9,46,19411,PSYCHIATRY
Physiological Reviews,PHYSIOL REV,29.9,45,Q1,29.6,6.6,0,36950,PHYSIOLOGY
Cancer Discovery,CANCER DISCOV,29.7,32.4,Q1,29.4,6.7,106,33545,ONCOLOGY
Nature Climate Change,NAT CLIM CHANGE,29.6,31.1,Q1,29,4.5,139,46843,ENVIRONMENTAL SCIENCES|ENVIRONMENTAL STUDIES|METEOROLOGY & ATMOSPHERIC SCIENCES
Journal of Hematology & Oncology,J HEMATOL ONCOL,29.5,26.9,Q1,29,5.2,25,22387,HEMATOLOGY|ONCOLOGY
Nature Reviews Rheumatology,NAT REV RHEUMATOL,29.4,30.6,Q1,28.8,4.4,12,15825,RHEUMATOLOGY
NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,28.7,37.4,Q1,28.4,4.2,0,46285,NEUROSCIENCES
Advanced Powder Materials,ADV POWDER MATER,28.6,28.6,Q1,27.2,13.7,42,1723,"MATERIALS SCIENCE, MULTIDISCIPLINARY"
Nature Reviews Nephrology,NAT REV NEPHROL,28.6,40,Q1,28.3,5.7,6,16046,UROLOGY & NEPHROLOGY
Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,28.4,30.1,Q1,28.2,6.8,0,4343,ELECTROCHEMISTRY
Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,28.4,35.2,Q1,28.4,11,0,8517,PATHOLOGY
Nature Reviews Neurology,NAT REV NEUROL,28.2,43.7,Q1,27.9,6,5,19986,CLINICAL NEUROLOGY
CELL RESEARCH,CELL RES,28.1,36.4,Q1,27.9,6,50,27759,CELL BIOLOGY
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,27.8,29.1,Q1,27.6,4,0,2942,ASTRONOMY & ASTROPHYSICS
Molecular Cancer,MOL CANCER,27.7,31.3,Q1,27.1,6,81,36560,BIOCHEMISTRY & MOLECULAR BIOLOGY|ONCOLOGY
NATURE IMMUNOLOGY,NAT IMMUNOL,27.7,28.3,Q1,27.2,4.6,142,54409,IMMUNOLOGY
Cell Metabolism,CELL METAB,27.7,31.2,Q1,27.3,6.2,117,58139,CELL BIOLOGY|ENDOCRINOLOGY & METABOLISM
ADVANCED MATERIALS,ADV MATER,27.4,30.2,Q1,25.9,5.2,2512,392263,"CHEMISTRY, MULTIDISCIPLINARY|CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY|PHYSICS, APPLIED|PHYSICS, CONDENSED MATTER"
eLight,ELIGHT,27.2,27.2,Q1,26.8,10.6,17,1077,OPTICS
INTENSIVE CARE MEDICINE,INTENS CARE MED,27.1,24,Q1,25.9,6.6,67,30470,CRITICAL CARE MEDICINE
Annual Review of Immunology,ANNU REV IMMUNOL,26.9,32,Q1,26.8,6.9,0,18947,IMMUNOLOGY
Nature Biomedical Engineering,NAT BIOMED ENG,26.8,29.2,Q1,26.4,4.3,115,16578,"ENGINEERING, BIOMEDICAL"
JOURNAL OF HEPATOLOGY,J HEPATOL,26.8,28,Q1,25.7,8.3,162,62886,GASTROENTEROLOGY & HEPATOLOGY
Living Reviews in Relativity,LIVING REV RELATIV,26.3,37.9,Q1,26.2,28.2,0,3904,"PHYSICS, PARTICLES & FIELDS"
Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,26.3,36.7,Q1,26.1,5.3,0,15350,ASTRONOMY & ASTROPHYSICS
Science Robotics,SCI ROBOT,26.1,33.7,Q1,25.7,2.3,54,11700,ROBOTICS
PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,26,29.5,Q1,25.7,4.1,0,27463,POLYMER SCIENCE
Nature Sustainability,NAT SUSTAIN,25.7,29.9,Q1,25.4,6.5,143,18380,ENVIRONMENTAL SCIENCES|ENVIRONMENTAL STUDIES|GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY
Gastroenterology,GASTROENTEROLOGY,25.7,25.2,Q1,25.1,5.3,151,90123,GASTROENTEROLOGY & HEPATOLOGY
Immunity,IMMUNITY,25.5,33.2,Q1,25,5.2,142,72423,IMMUNOLOGY
Lancet Public Health,LANCET PUBLIC HEALTH,25.4,29.9,Q1,25.1,3.6,76,10780,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,25.4,26.8,Q1,25.1,9.9,0,16085,"MECHANICS|PHYSICS, FLUIDS & PLASMAS"
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,25.4,18.5,Q1,24.6,4,262,33589,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
EUROPEAN UROLOGY,EUR UROL,25.3,19.4,Q1,24.6,8,74,36311,UROLOGY & NEPHROLOGY
Advances in Optics and Photonics,ADV OPT PHOTONICS,25.2,25.8,Q1,24.9,4.3,6,4110,OPTICS
REVIEWS OF GEOPHYSICS,REV GEOPHYS,25.2,32.5,Q1,25.1,5.9,0,16520,GEOCHEMISTRY & GEOPHYSICS
JAMA Pediatrics,JAMA PEDIATR,24.7,20.4,Q1,24.2,4.5,76,18881,PEDIATRICS
Interdisciplinary Materials,INTERD MATER,24.5,24.7,Q1,23.9,4.1,12,875,"CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED"
FUNGAL DIVERSITY,FUNGAL DIVERS,24.5,24.1,Q1,22.5,4.7,16,6411,MYCOLOGY
Advanced Energy Materials,ADV ENERGY MATER,24.4,27.2,Q1,23.3,4.5,846,131887,"CHEMISTRY, PHYSICAL|ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED|PHYSICS, CONDENSED MATTER"
Lancet Planetary Health,LANCET PLANET HEALTH,24.1,25.6,Q1,23.4,3.9,80,8325,"ENVIRONMENTAL SCIENCES|PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,23.9,25.7,Q1,23.7,5.4,0,33664,"PHYSICS, MULTIDISCIPLINARY"
Lancet Digital Health,LANCET DIGIT HEALTH,23.8,27.7,Q1,23.4,8.8,64,6727,"MEDICAL INFORMATICS|MEDICINE, GENERAL & INTERNAL"
ACM COMPUTING SURVEYS,ACM COMPUT SURV,23.8,21.1,Q1,23.3,10,294,23965,"COMPUTER SCIENCE, THEORY & METHODS"
iMeta,IMETA,23.7,23.7,Q1,22,5.9,36,1330,MICROBIOLOGY
Nature Food,NAT FOOD,23.6,25,Q1,22.7,3.8,78,7059,FOOD SCIENCE & TECHNOLOGY
Annual Review of Psychology,ANNU REV PSYCHOL,23.6,27.9,Q1,23.5,14.4,0,27556,"PSYCHOLOGY|PSYCHOLOGY, MULTIDISCIPLINARY"
Nature Cancer,NAT CANCER,23.5,24.6,Q1,23.2,4.4,79,6853,ONCOLOGY
Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,23.2,17.7,Q1,20.5,6.1,205,11325,"MATERIALS SCIENCE, COMPOSITES|NANOSCIENCE & NANOTECHNOLOGY"
PROCEEDINGS OF THE IEEE,P IEEE,23.2,18.4,Q1,23.1,7.7,38,40844,"ENGINEERING, ELECTRICAL & ELECTRONIC"
Living Reviews in Solar Physics,LIVING REV SOL PHYS,23,24.6,Q1,22.6,5.3,0,2090,ASTRONOMY & ASTROPHYSICS
GUT,GUT,23,24.5,Q1,22.5,3.8,130,61677,GASTROENTEROLOGY & HEPATOLOGY
InfoMat,INFOMAT,22.7,21.7,Q1,22.4,3.1,63,6530,"MATERIALS SCIENCE, MULTIDISCIPLINARY"
JAMA Psychiatry,JAMA PSYCHIAT,22.5,22.3,Q1,22,3.1,106,22206,PSYCHIATRY
JAMA Internal Medicine,JAMA INTERN MED,22.5,22.5,Q1,21.9,8.8,89,24993,"MEDICINE, GENERAL & INTERNAL"
JAMA Oncology,JAMA ONCOL,22.5,25.9,Q1,22.2,4.9,115,28299,ONCOLOGY
EnergyChem,ENERGYCHEM,22.2,25.4,Q1,21.9,7,18,2235,"CHEMISTRY, MULTIDISCIPLINARY|ENERGY & FUELS|ENGINEERING, CHEMICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY"
ENDOCRINE REVIEWS,ENDOCR REV,22,26.5,Q1,22,2.6,0,17365,ENDOCRINOLOGY & METABOLISM
Cellular & Molecular Immunology,CELL MOL IMMUNOL,21.8,19.9,Q1,21.5,2.6,68,14443,IMMUNOLOGY
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,21.7,24.2,Q1,20.8,5.7,238,115262,CARDIAC & CARDIOVASCULAR SYSTEMS
Annual Review of Public Health,ANNU REV PUBL HEALTH,21.4,25.7,Q1,21.3,3.4,0,10648,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
