Journal name,JCR Abbreviation,2024 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category,2023 JIF
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,232.4,353,Q1,232.2,357.5,6,71799,ONCOLOGY,503.1
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,103.3,99.1,Q1,102.8,11.3,0,61109,MICROBIOLOGY,69.2
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,101.8,129.8,Q1,101.1,17.3,4,52833,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|PHARMACOLOGY & PHARMACY,122.7
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,90.2,128.7,Q1,89.6,16.3,0,73135,CELL BIOLOGY,81.3
Kidney International Supplements,KIDNEY INT SUPPL,89.6,26,Q1,89.6,2.3,9,3196,UROLOGY & NEPHROLOGY,19.3
LANCET,LANCET,88.5,104.8,Q1,87.1,26.6,198,347563,"MEDICINE, GENERAL & INTERNAL",98.4
Nature Reviews Materials,NAT REV MATER,86.2,99.8,Q1,85.9,11.9,10,43197,"MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY",79.8
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,82.2,89.9,Q1,81.7,15.3,3,33355,ONCOLOGY,81.1
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,78.5,84.9,Q1,77.9,22,246,397323,"MEDICINE, GENERAL & INTERNAL",96.2
Nature Reviews Earth & Environment,NAT REV EARTH ENV,71.5,73.7,Q1,71.1,9.3,3,14133,"ENVIRONMENTAL SCIENCES|GEOSCIENCES, MULTIDISCIPLINARY",49.7
NATURE REVIEWS CANCER,NAT REV CANCER,66.8,81,Q1,66.4,6.2,17,60054,ONCOLOGY,72.5
World Psychiatry,WORLD PSYCHIATRY,65.8,60,Q1,60.7,19.2,21,13954,PSYCHIATRY,60.5
ANNALS OF ONCOLOGY,ANN ONCOL,65.4,46.8,Q1,64.5,16.3,74,64093,ONCOLOGY,56.7
Living Reviews in Relativity,LIVING REV RELATIV,62.5,52.4,Q1,62.5,7.5,0,5042,"PHYSICS, PARTICLES & FIELDS",26.3
NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,60.9,77.6,Q1,60.5,3.6,76,64754,IMMUNOLOGY,67.7
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,60.6,104.8,Q1,60.6,9.7,4,37841,"MEDICINE, GENERAL & INTERNAL",76.9
MMWR Recommendations and Reports,MMWR RECOMM REP,60.1,50,Q1,60,12.8,6,3411,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",NA
Nature Energy,NAT ENERGY,60.1,68.9,Q1,59.4,9.4,214,55904,"ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY",49.7
Nature Reviews Methods Primers,NAT REV METHOD PRIME,56,66.9,Q1,55.8,6,26,9349,MULTIDISCIPLINARY SCIENCES,50.1
CHEMICAL REVIEWS,CHEM REV,55.8,67.5,Q1,55.3,12,0,246622,"CHEMISTRY, MULTIDISCIPLINARY",51.4
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,55,64.7,Q1,53.9,13.9,180,194087,"MEDICINE, GENERAL & INTERNAL",63.1
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,52.7,52.2,Q1,52.1,10.2,156,51196,BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY,40.8
NATURE REVIEWS GENETICS,NAT REV GENET,52,57.1,Q1,51.5,7,0,42931,GENETICS & HEREDITY,39.1
Nature Reviews Chemistry,NAT REV CHEM,51.7,49.4,Q1,51.4,8.6,0,16326,"CHEMISTRY, MULTIDISCIPLINARY",38.1
