Journal name,JCR Abbreviation,2025 JIF,2024 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,685.2,232.4,445.3,Q1,684.1,69.9,15,78841,ONCOLOGY
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,118,90.2,147,Q1,117.6,10.6,0,83533,CELL BIOLOGY
LANCET,LANCET,109,88.5,115.4,Q1,107.6,23,192,378842,"MEDICINE, GENERAL & INTERNAL"
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,104.6,103.3,113.3,Q1,104.2,12,0,71046,MICROBIOLOGY
MMWR Surveillance Summaries,MMWR SURVEILL SUMM,96.9,49.8,42,Q1,96.9,3.7,3,3511,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,94.6,82.2,105.2,Q1,94.1,10.6,0,39514,ONCOLOGY
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,91.2,101.8,131.3,Q1,90.6,20.8,0,57448,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|PHARMACOLOGY & PHARMACY
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,84.5,78.5,86.6,Q1,83.7,20.1,266,414591,"MEDICINE, GENERAL & INTERNAL"
Nature Reviews Materials,NAT REV MATER,83.3,86.2,110.4,Q1,82.9,18.7,0,49906,"MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY"
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,81.2,52.7,74.6,Q1,80.8,13.2,238,88969,BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY
ANNALS OF ONCOLOGY,ANN ONCOL,80.4,65.4,57.1,Q1,79.1,11.4,109,68920,ONCOLOGY
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,79.8,60.6,114,Q1,79.7,12.9,3,45742,"MEDICINE, GENERAL & INTERNAL"
World Psychiatry,WORLD PSYCHIATRY,79.5,65.8,73.4,Q1,76.2,13.2,21,17298,PSYCHIATRY
Nature Reviews Earth & Environment,NAT REV EARTH ENV,74.1,71.5,87.2,Q1,73.6,8,15,20911,"ENVIRONMENTAL SCIENCES|GEOSCIENCES, MULTIDISCIPLINARY|METEOROLOGY & ATMOSPHERIC SCIENCES"
Nature Energy,NAT ENERGY,70.1,60.1,66.6,Q1,69.3,15.2,100,64421,"ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY"
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,65.4,55,66.8,Q1,64.2,15.9,149,205027,"MEDICINE, GENERAL & INTERNAL"
